Card_Type,Rarity,Card_ID,Base_Power,Optimal_Lane,Race,Keyword_Ability,Class,Card_Name,Faction,id,created_date,updated_date,created_by_id,created_by,is_sample
Unit,Uncommon,UNT-ARB-09,4,Lane_3,,,Rogue,Thorn-Rogue,The Arborea Kingdom,69daedcfcefc01ad7298f0be,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ARB-10,5,Lane_3,,,Behemoth,Ancient Baloth,The Arborea Kingdom,69daedcfcefc01ad7298f0bf,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ARB-01,0,Lane_1,,,Curse,Tangleweed,The Arborea Kingdom,69daedcfcefc01ad7298f0c0,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ARB-02,0,Lane_2,,,Curse,Spore Cloud,The Arborea Kingdom,69daedcfcefc01ad7298f0c1,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ARB-03,0,Lane_3,,,Curse,Venom Brambles,The Arborea Kingdom,69daedcfcefc01ad7298f0c2,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ASH-01,4,Lane_1,,,Warrior,Skeleton Warrior,The Ashen Swarm,69daedcfcefc01ad7298f0c8,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ASH-02,3,Lane_1,,,Warrior,Grave Guard,The Ashen Swarm,69daedcfcefc01ad7298f0c9,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ASH-03,3,Lane_1,,,Warrior,Crypt Fiend,The Ashen Swarm,69daedcfcefc01ad7298f0ca,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ASH-04,3,Lane_2,,,Archer,Bone Archer,The Ashen Swarm,69daedcfcefc01ad7298f0cb,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ASH-05,2,Lane_2,,,Healer,Death Priest,The Ashen Swarm,69daedcfcefc01ad7298f0cc,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ASH-06,5,Lane_2,,,Mage,Lich Adept,The Ashen Swarm,69daedcfcefc01ad7298f0cd,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ASH-07,4,Lane_3,,,Rogue,Shadow Assassin,The Ashen Swarm,69daedcfcefc01ad7298f0ce,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ASH-08,5,Lane_3,,,Behemoth,Bone Colossus,The Ashen Swarm,69daedcfcefc01ad7298f0cf,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ASH-09,4,Lane_3,,,Rogue,Ghoul Scavenger,The Ashen Swarm,69daedcfcefc01ad7298f0d0,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ASH-10,5,Lane_3,,,Behemoth,Flesh Golem,The Ashen Swarm,69daedcfcefc01ad7298f0d1,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ASH-01,0,Lane_1,,,Curse,Putrid Fog,The Ashen Swarm,69daedcfcefc01ad7298f0d2,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ASH-02,0,Lane_2,,,Curse,Cursed Ground,The Ashen Swarm,69daedcfcefc01ad7298f0d3,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ASH-03,0,Lane_3,,,Curse,Soul Drain,The Ashen Swarm,69daedcfcefc01ad7298f0d4,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-OBS-01,4,Lane_1,,,Warrior,Scale Guard,The Obsidian Empire,69daedcfcefc01ad7298f0da,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-OBS-02,3,Lane_1,,,Warrior,Ash-Warrior,The Obsidian Empire,69daedcfcefc01ad7298f0db,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-OBS-03,3,Lane_1,,,Warrior,Magma Brute,The Obsidian Empire,69daedcfcefc01ad7298f0dc,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-OBS-04,3,Lane_2,,,Archer,Ember Archer,The Obsidian Empire,69daedcfcefc01ad7298f0dd,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-OBS-05,2,Lane_2,,,Healer,Scale Healer,The Obsidian Empire,69daedcfcefc01ad7298f0de,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-OBS-06,5,Lane_2,,,Mage,Pyromancer,The Obsidian Empire,69daedcfcefc01ad7298f0df,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-OBS-07,4,Lane_3,,,Rogue,Smoke Rogue,The Obsidian Empire,69daedcfcefc01ad7298f0e0,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-OBS-08,5,Lane_3,,,Behemoth,Inferno Drake,The Obsidian Empire,69daedcfcefc01ad7298f0e1,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-OBS-09,4,Lane_3,,,Rogue,Wyvern Rider,The Obsidian Empire,69daedcfcefc01ad7298f0e2,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-OBS-10,5,Lane_3,,,Behemoth,Magma Golem,The Obsidian Empire,69daedcfcefc01ad7298f0e3,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-OBS-01,0,Lane_1,,,Curse,Ash Storm,The Obsidian Empire,69daedcfcefc01ad7298f0e4,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-OBS-02,0,Lane_2,,,Curse,Magma Pool,The Obsidian Empire,69daedcfcefc01ad7298f0e5,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-OBS-03,0,Lane_3,,,Curse,Cinder Blast,The Obsidian Empire,69daedcfcefc01ad7298f0e6,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-FER-01,4,Lane_1,,,Warrior,Wolf Bruiser,The Feral Hollow,69daedcfcefc01ad7298f0ec,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-FER-02,3,Lane_1,,,Warrior,Swamp Troll,The Feral Hollow,69daedcfcefc01ad7298f0ed,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-FER-03,3,Lane_1,,,Warrior,Feral Minotaur,The Feral Hollow,69daedcfcefc01ad7298f0ee,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-FER-04,3,Lane_2,,,Archer,Quill-Thrower,The Feral Hollow,69daedcfcefc01ad7298f0ef,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-FER-05,2,Lane_2,,,Healer,Blood Shaman,The Feral Hollow,69daedcfcefc01ad7298f0f0,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-FER-06,5,Lane_2,,,Mage,Swamp Witch,The Feral Hollow,69daedcfcefc01ad7298f0f1,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-FER-07,4,Lane_3,,,Rogue,Prowling Arachnid,The Feral Hollow,69daedcfcefc01ad7298f0f2,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-FER-08,5,Lane_3,,,Behemoth,Chimera,The Feral Hollow,69daedcfcefc01ad7298f0f3,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-FER-09,4,Lane_3,,,Rogue,Gargoyle,The Feral Hollow,69daedcfcefc01ad7298f0f4,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-FER-10,5,Lane_3,,,Behemoth,Basilisk,The Feral Hollow,69daedcfcefc01ad7298f0f5,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-FER-01,0,Lane_1,,,Curse,Blood Scent,The Feral Hollow,69daedcfcefc01ad7298f0f6,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-FER-02,0,Lane_2,,,Curse,Toxic Spores,The Feral Hollow,69daedcfcefc01ad7298f0f7,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-IRO-01,4,Lane_1,,,Warrior,Iron Guard,The Iron Pact,69daedcfcefc01ad7298f0a4,2026-04-12T00:56:47.933000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-VAN-01,4,Lane_1,,,Warrior,Vanguard Knight,The Vanguard Kingdoms,69daec30236dcba446722db9,2026-04-12T00:49:52.810000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-VAN-02,3,Lane_1,,,Warrior,Shield-Bearer,The Vanguard Kingdoms,69daec30236dcba446722dba,2026-04-12T00:49:52.810000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-VAN-03,3,Lane_1,,,Warrior,Infantry Pikeman,The Vanguard Kingdoms,69daec30236dcba446722dbb,2026-04-12T00:49:52.810000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-VAN-04,3,Lane_2,,,Archer,Royal Archer,The Vanguard Kingdoms,69daec30236dcba446722dbc,2026-04-12T00:49:52.810000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-VAN-05,2,Lane_2,,,Healer,Field Medic,The Vanguard Kingdoms,69daec30236dcba446722dbd,2026-04-12T00:49:52.810000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-VAN-06,5,Lane_2,,,Mage,Battlemage,The Vanguard Kingdoms,69daec30236dcba446722dbe,2026-04-12T00:49:52.810000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-VAN-07,4,Lane_3,,,Rogue,Vanguard Rogue,The Vanguard Kingdoms,69daec30236dcba446722dbf,2026-04-12T00:49:52.810000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-VAN-08,5,Lane_3,,,Behemoth,Heavy Cavalry,The Vanguard Kingdoms,69daec30236dcba446722dc0,2026-04-12T00:49:52.810000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-VAN-09,4,Lane_1,,,Warrior,Castle Guard,The Vanguard Kingdoms,69daec30236dcba446722dc1,2026-04-12T00:49:52.810000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-VAN-10,5,Lane_3,,,Behemoth,Siege Ballista,The Vanguard Kingdoms,69daec30236dcba446722dc2,2026-04-12T00:49:52.810000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-VAN-01,0,Lane_1,,,Curse,Arrow Volley,The Vanguard Kingdoms,69daec30236dcba446722dc3,2026-04-12T00:49:52.810000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-VAN-02,0,Lane_2,,,Curse,Mud Trench,The Vanguard Kingdoms,69daec30236dcba446722dc4,2026-04-12T00:49:52.810000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-VAN-03,0,Lane_3,,,Curse,Suppressive Fire,The Vanguard Kingdoms,69daec30236dcba446722dc5,2026-04-12T00:49:52.810000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-VAN-CLN,0,Any,,,Cleanse,Holy Light,The Vanguard Kingdoms,69e120000000000000000001,2026-04-29T00:00:00.000000,2026-04-29T00:00:00.000000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-IRO-CLN,0,Any,,,Cleanse,Ancestral Rune,The Iron Pact,69e120000000000000000002,2026-04-29T00:00:00.000000,2026-04-29T00:00:00.000000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ARB-CLN,0,Any,,,Cleanse,Spring Water,The Arborea Kingdom,69e120000000000000000003,2026-04-29T00:00:00.000000,2026-04-29T00:00:00.000000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-ASH-CLN,0,Any,,,Cleanse,Necrotic Purge,The Ashen Swarm,69e120000000000000000004,2026-04-29T00:00:00.000000,2026-04-29T00:00:00.000000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-OBS-CLN,0,Any,,,Cleanse,Cleansing Fire,The Obsidian Empire,69e120000000000000000005,2026-04-29T00:00:00.000000,2026-04-29T00:00:00.000000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-FER-CLN,0,Any,,,Cleanse,Moonlit Purge,The Feral Hollow,69e120000000000000000006,2026-04-29T00:00:00.000000,2026-04-29T00:00:00.000000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
